Var1_1,Var1_2
-19,-5
-17,-7
-17,-5
-17,-3
-13,-1
-9,-3
-9,-1
-9,3
-9,5
-5,11
-7,13
-1,15
1,21
1,23
-1,27
-3,29
-7,27
-7,23
-13,19
-15,17
-21,15
-21,13
-11,11
-1,9
3,5
1,-1
3,-5
-1,-11
-5,-15
-5,-17
-1,-15
-5,-13
-1,-13
-3,-15
-1,-13
-1,-11
-3,-11
-1,-13
-1,-15
1,-11
-1,-13
-3,-11
1,-13
1,-15
-3,-15
-3,-13
-5,-13
-3,-5
3,-1
5,1
9,1
21,1
19,-1
27,-1
31,-7
21,-13
7,-13
-5,-21
-13,-21
-15,-21
-17,-21
-21,-23
-19,-21
-21,-23
-19,-23
-15,-21
-27,-15
-21,-7
29,-17
193,-101
365,-209
83,-197
-167,-99
-153,-29
-69,-5
-29,-1
-25,-1
-23,-1
-23,-1
-23,-1
-23,3
-23,3
-21,1
-17,5
-17,7
-19,5
-17,11
-11,11
-9,15
-9,15
-7,21
-5,23
-3,25
-5,29
-5,31
-9,31
-11,29
-17,23
-23,19
-27,17
-29,13
-23,11
-17,9
-9,13
-5,9
-3,3
-3,-3
-5,-7
-11,-9
-11,-11
-11,-11
-7,-9
-7,-11
-7,-11
-7,-9
-7,-9
-9,-7
-7,-11
-9,-11
-9,-9
-9,-9
-7,-11
-7,-13
-11,-13
-13,-13
-13,-15
-15,-13
-13,-9
-9,-1
-1,1
1,1
13,1
13,-3
19,-1
19,-1
23,-11
7,-17
-3,-15
-15,-23
-23,-25
-27,-27
-27,-27
-29,-27
-31,-25
-27,-27
-27,-29
-29,-21
-37,-13
-7,-1
89,-71
297,-159
363,-267
-19,-203
-193,-81
-123,-17
-53,-1
-33,-5
-33,-7
-33,-9
-31,-5
-31,-3
-27,-5
-29,-5
-27,-1
-27,1
-27,1
-23,3
-23,7
-21,13
-21,15
-19,17
-13,19
-15,25
-13,29
-13,33
-11,31
-15,35
-19,35
-21,29
-25,27
-27,25
-31,23
-29,17
-27,17
-17,11
-13,5
-11,-5
-13,-7
-15,-15
-17,-15
-21,-19
-19,-15
-19,-17
-17,-15
-17,-17
-15,-15
-15,-15
-19,-13
-19,-15
-15,-15
-15,-17
-15,-17
-17,-19
-17,-17
-21,-19
-19,-21
-17,-21
-23,-17
-13,-7
-9,-5
-5,-3
5,-7
3,-13
13,-11
9,-9
13,-21
-5,-23
-11,-27
-23,-31
-31,-33
-35,-31
-29,-35
-37,-33
-35,-35
-33,-35
-31,-35
-37,-29
-37,-21
11,-31
175,-117
391,-235
175,-257
-151,-143
-167,-39
-79,-13
-39,-13
-35,-15
-35,-15
-37,-17
-33,-17
-33,-13
-37,-13
-33,-11
-29,-9
-33,-5
-31,-5
-25,-3
-23,-1
-23,3
-23,5
-21,11
-17,13
-19,17
-19,21
-17,23
-15,25
-17,27
-23,23
-25,17
-29,17
-33,11
-33,9
-29,5
-21,5
-17,1
-15,-7
-15,-15
-17,-19
-23,-19
-23,-23
-23,-25
-19,-25
-19,-21
-23,-23
-19,-21
-19,-23
-21,-21
-17,-23
-19,-21
-17,-23
-17,-23
-19,-21
-17,-21
-19,-23
-19,-23
-21,-27
-21,-27
-21,-27
-21,-25
-21,-21
-11,-15
-9,-11
-3,-11
3,-13
5,-17
9,-15
15,-15
11,-27
-11,-25
-13,-27
-21,-37
-29,-37
-33,-39
-31,-35
-33,-37
-33,-37
-33,-37
-27,-31
-43,-25
-21,-11
75,-63
273,-143
377,-267
-3,-211
-201,-89
-141,-27
-61,-11
-39,-15
-35,-17
-35,-17
-35,-13
-35,-15
-33,-13
-31,-11
-31,-9
-31,-9
-29,-9
-25,-7
-21,-5
-25,-3
-25,-1
-21,1
-21,5
-17,11
-15,11
-13,15
-19,17
-21,19
-23,19
-27,17
-29,13
-37,9
-35,5
-35,3
-31,1
-23,3
-17,-3
-13,-7
-15,-15
-17,-19
-19,-23
-23,-23
-21,-23
-19,-23
-19,-25
-19,-23
-21,-23
-19,-21
-13,-21
-17,-21
-19,-19
-15,-23
-15,-23
-15,-25
-21,-23
-21,-25
-21,-25
-21,-25
-21,-25
-23,-27
-25,-25
-25,-21
-17,-15
-15,-15
-11,-11
-7,-9
-3,-7
7,-15
9,-13
17,-19
-3,-25
-15,-27
-23,-33
-31,-33
-33,-33
-35,-33
-35,-35
-35,-31
-33,-33
-35,-33
-39,-27
-37,-13
31,-31
213,-127
361,-249
-5,-211
-213,-101
-153,-35
-67,-17
-43,-15
-39,-15
-35,-17
-37,-19
-35,-15
-37,-13
-33,-11
-35,-9
-33,-9
-27,-7
-27,-7
-31,-3
-25,1
-25,1
-23,5
-21,11
-19,17
-13,17
